Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Adam's Diner","American, Burgers, Halal","423 Glasgow Road","Dumbarton","G81 1LW","01419529090","1448","5"
"Papa John's - Broomhill","Pizza, American","12 Norby Road","Glasgow","G11 7BN","read what this restaurant has to say about allergies","1034","4.5"
"KFC Glasgow Great Western Road","Chicken","Great Western Road","Glasgow","G15 6SA","02039126648","749","4.5"
"Burger King Glasgow","Burgers, American","Great Western Road, Allerdyce Court","Glasgow","G15 6SA","02039126648","405","5"
"Greggs - Dumbarton Road","Breakfast, Sandwiches","392 Dumbarton Road, Partick","Glasgow","G11 6RZ","read what this restaurant has to say about allergies","103","4.5"
"Subway Knightswood","Sandwiches, Lunch","748 Anniesland Road Knightswood Shopping Centre","Glasgow","G14 0YU","02039126648","62","5"
"Gennaro's Fish & Chips","Fish & Chips, Pizza","1556 Great Western Road","Glasgow","G13 1HJ","01419598339","1331","5.5"
"Subway - Hyndland","Sandwiches, Subways","33 Clarence Drive","Glasgow","G12 9QN","02039126648","22","3"
"Mario's (Glasgow) Limited","Fish & Chips, Pizza, Halal","253 Alderman Road","Glasgow","G13 3AY","01419594999","812","5"
"McMonagles Fish, Chips & Pizzeria","Fish & Chips, Pizza, Halal","1 Argyle Road Clydebark","Glasgow","G81 1QA","01419512444","3889","5"
"The Record Factory","Burgers, Vegan","17 Byres Road","Glasgow","G11 5RD","01413348888","3","4"
"Papa Joes","Breakfast, Lunch","127 Dalsetter Avenue","Glasgow","G15 8TE","01412376470","366","4.5"
"Magic Grill","Indian, Kebab, Halal","1341 Dumbarton Road","Glasgow","G14 9UZ","01419597480","99","5"
"Nurdy Burdy","Peri Peri, Grill, Halal","946 Argyle Street","Glasgow","G3 8YJ","0141 248 1741","0","0"
"KFC Clydebank","Chicken","59 Livingston Street","Clydebank","G81 2XA","02039126648","384","4"
"Bay Leaf Bistro & Indian Takeaway","Indian, Pizza","3 Rannoch Drive","Bearsden","G61 2JW","01419420077","1720","5.5"
"The Hovel","Italian, Pizza","15 Ladyloan Place","Glasgow","G15 8LB","07892895547","14","5"
"Po' Boyz","American, Burgers","16 Norby Road","Glasgow","G11 7BN","01413347799","565","5"
"Killermont Polo Club","Indian, Curry","2022 Mary Hill Road","Glasgow","G20 0AB","01419465412","1113","5"
"Pickled Ginger","Japanese, Sushi","512 St Vincent Street","Glasgow","G3 8XZ","01413288941","3064","5"
"Dario Pizzeria","Pizza, Pasta","114 Queen Margret Drive","Glasgow","G20 8NZ","01419453603","428","5"
"Sumerians Fish & Chicken Bar","Kebab, Pizza","1255 Dumbarton Road","Lanarkshire","G14 9UU","01419599385","456","5"
"Temaki","Japanese, Sushi","113 Hope Street","Glasgow","G2 6LL","01412481869","1285","5"
"La Vita Spuntini","Italian, Pizza","199 Byres Road","Glasgow","G12 8TN","01413394222","1605","5"
"CHELLOS","Indian, Kebab, Halal","1377 Dumbarton Road","Glasgow","G14 9XT","01419541184","771","4.5"
"Little Canteen","Chinese, Oriental","1164 Argyle Street","Glasgow","G3 8TD","01413399355","854","5"
"Okome","Japanese, Sushi","161 Byres Road","Glasgow","G12 8TS","01413341818","592","5.5"
"Casablanca","Italian, Pizza","35 Clarence Driver","Glasgow","G12 9QN","01413399190","568","5"
"Thornwood Chippy","Fish & Chips, Pizza","688 Dumbarton Road","Glasgow","G11 6RB","01413706107","92","5"
"Well-Fed @ Whiteinch","Deli, Breakfast","The Whiteinch Centre 1 Northinch Court","Glasgow","G14 0UG","01419542006","458","5"
"The Hyndland Cafe","Café, Breakfast","96 Clarence Drive","Glasgow","G12 9RN","01413342719","305","5.5"
"Sakura","Japanese, Sushi","1342 Maryhill Road","Glasgow","G20 9DG","01419469555","27","5.5"
"American BBQ & Burger Company","American, Burgers","114 Queen Margret Drive","Glasgow","G20 8NZ","01419453603","387","4.5"
"Pizza Amore","Fish & Chips, Pizza","1499 Dumbarton road","Glasgow","G14 9XL","01419595280","190","5"
"Cafe 81","Café, British","2-16 Braes Avenue","Clydebank","G81 1DP","07706460586","28","5"
"Ashoka Ashton Lane","Indian, Curry","19 Ashton Lane","Glasgow","G12 8SJ","01413371115","95","5"
"Spice Chilli Indian Restaurant & Takeaway","Indian, Curry, Halal","Unit 8, Baljaffray shopping centre, Bearsden","Glasgow","G61 4RN","01419424445","347","5.5"
"Home Style Authentic Indian Cuisine","Curry, Indian, Halal","470 Paisley Road","Glasgow","G5 8RE","01414292234","2593","5.5"
"Mario’s Plaice","Fish & Chips, Italian","285 Byres Road","Glasgow","G12 8TL","01413346561","52","5.5"
"Barbeque King","Italian, Indian","488 Great Western Road","Glasgow","G12 8EW","01413571020","815","4"
"Wrapchic - Glasgow","Indian, Halal","210 Castlebank Street","Glasgow","G11 6DN","01413372529","35","5.5"
"Bagel Mania","Bagels","195 Byres Road","Glasgow","G12 8TN","01413399704","11","5.5"
"Dilli Haat","Indian, Pizza, Halal","67 Milngavie Road","Bearsden","G61 2DW","01419423737","74","4.5"
"Stonehouse Leven Valley","Pizza, Roast Dinners","7 Allerdyce Court","Glasgow","G15 6SA","02039126648","84","4.5"
"Matzaluna","Pizza, Desserts","Clydebank Regional shopping centre","Glasgow","G81 2RZ","08448846865","43","5"
"Pizza Hut Delivery - Scotstounhill","Pizza, Salads","726 Anniesland Road","Glasgow","G14 0YU","01414341111","52","4"
"BRGR West End","Burgers, American","526 Great Western Road","Glasgow","G12 8EL","01413391199","110","4.5"
"Banana Leaf South Indian","Indian, Curry","76B Old Dumbarton Road","Glasgow","G3 8RE","01413344445","666","4.5"
"La Rotunda Italian","Italian, Pizza","Ground Floor, 28 Tunnel Street","Glasgow","G3 8HL","01418470880","1063","4.5"
"Bi Bim Bap","Korean, Asian","3 West Nile Street","Glasgow","G1 2PR","01412216111","331","5"
"BingSoul Dessert Cafe","Desserts, Bubble Tea","90 Dumbarton Road","Glasgow","G11 6NX","01413392338","28","6"
"Treatz Delivered","Desserts, Ice Cream","423 Glasgow Road","Dumbarton","G81 1LW","01419529090","101","4"
"The University Cafe and Take Away","Fish & Chips, Desserts","83 Byres Road","Glasgow","G11 5HN","01413395217","41","5.5"
"Hanoi Bike Shop","Vietnamese, Asian","8 Ruthven Lane","Glasgow","G12 9BG","01413394125","17","5"
"Riccardos","Pizza, Italian","512 St Vincent Street","Glasgow","G3 8XZ","01418470880","260","3.5"
"YO! Sushi - Glasgow Braehead","Sushi, Japanese","Intu Braehead Shopping Centre, Kings Inch Road","Glasgow","G51 4BP","01414 132 002","58","5"
"Burger Shack","American, Burgers","1116 Argle Street","Glasgow","G3 8TD","01412215881","659","4"
"Cafe Orlando","Fish & Chips, Pizza","1383 Argyle Street","Glasgow","G3 8AF","01413572103","38","5.5"
"Bag ó Nails","Burgers, Pizza","165 Dumbarton Road","Glasgow","G11 6AA","01414659920","26","4.5"
"Yen Sushi","Sushi, Japanese","99 Hope Street","Glasgow","G2 6LL","01413288941","309","5"
"Athena","Greek, Mediterranean, Halal","141 Elderslie Street","Glasgow","G3 7AW","01412043144","1296","5"
"Little Soho Jordan Hill","Italian, Pizza","513 Crow Road Glasgow","Glasgow","G13 1NU","0141 959 1960","21","5"
"Pizza Crolla","Burgers, Desserts","99 Hope Street","Glasgow","G2 6LL","01412215881","330","3.5"
"Central Sushi","Sushi, Japanese","3 West Nile Street","Glasgow","G1 2PR","01413288941","35","5.5"
"Mezze","Greek, Kebab","141 Elderslie Street","Glasgow","G3 7AW","01412043144","294","4"
"Mythos","Greek, Mediterranean, Halal","161 Hope Street","Glasgow","G2 2UQ","01412043144","268","4"
"YO! Sushi - Glasgow Silverburn","Sushi, Japanese","Silverburn Shopping Centre, Barrhead Road","Glasgow","G53 6QR","0141 555 0042","85","5"
"Station Wok","Chinese, Oriental","34 Merkland Street","Glasgow","G11 6DB","01413399988","803","5.5"
"Knightswood Chinese","Chinese, Oriental","247 Alderman Road","Glasgow","G13 3AY","01419591818","1228","5"
"Cravings Ice Cream and Dessert","Desserts, Ice Cream, Halal","411 Dumbarton Road","Glasgow","G11 6DD","07857207876","3","5"
"Freddies Food Club~","Indian, Italian","2139 Great Western Road","Glasgow","G13 2XX","01419591901","1653","4"
"Asian Tandoori","Indian, Curry, Halal","3A Duntreath Avenue","Glasgow","G13 4JG","01419506100","2654","5.5"
"The Pedlar And Spice","Indian, Curry","157-159 North Street","Glasgow","G3 7DA","01412213926","64","5"
"New NG's Dynasty","Chinese, Oriental","60 Fulton Street","Glasgow","G13 1ED","01419593639","1216","5"
"Jutt's Food Xpress","Indian, Pizza","199 Knightswood Road","Glasgow","G13 2EX","01419542266","300","5"
"Firehouse Grill","American, Burgers","948 Govan Road","Glasgow","G51 3AF","07835663770","0","0"
"Saffron","Indian, Kebab","178 Archerhill Road","Knightswood","G13 3JG","01419595999","811","5.5"
"Golden View","Chinese, Oriental","306 Dyke Road","Glasgow","G13 4QU","01419591682","864","5"
"Rockabilly","Indian, American","1 Salkeld Street","Glasgow","G5 8HE","01412371670","10","5.5"
"I Chai","Chinese, Oriental","1015 Crow Road","Glasgow","G13 1JP","07515038888","105","4.5"
"Mei Dou","Chinese, Thai","187 Fulton Street","Glasgow","G13 1AN","01414340587","539","5"
"Spice Heaven","Indian, Kebab","1002 Crow Road","Glasgow","G13 1JN","01419599996","569","5"
"Chillies","Indian, Kebab","477 Blairdardie Road","Glasgow","G15 6JP","01419443863","1997","5.5"
"Bawarchi","Indian, Pizza, Halal","995 Crow Road","Glasgow","G13 1JP","01419549999","131","5"
"New Ruby","Chinese, Oriental","18 Pennan Place","Glasgow","G14 0EA","01419501999","26","5.5"
"Pauls Fast Foods","Italian, Pizza","12 Drumchapel Road","Glasgow","G15 6QE","01419444195","1724","4.5"
"Four Pound Shop","Chinese, Oriental","26 Alexander Street","Clydebank","G81 1RZ","01414633119","576","4.5"
"Hot & Spicy","Indian, Pizza, Halal","18 Alexander Street Clydebark","Glasgow","G81 1RZ","01419526555","497","5"
"New Kismet Tandoori","Indian, Pizza, Halal","311 Drumry Road East","Glasgow","G15 8PA","01419445620","1022","4.5"
"Spicy Mix","Indian, Pizza, Halal","10 Drumchapel Road","Glasgow","G15 6QE","01419444646","1249","5"
"Kung Fu Chinese Take Away","Chinese, Oriental","1995-1997 Dunbarton Road","Glasgow","G14 0HZ","01419506869","315","4.5"
"Sajjan","Indian, Pizza, Halal","2372 Dumberton Road","Glasgow","G14 0QL","01419511839","1655","5.5"
"Milanos Fish, Chips & Pizzeria","Fish & Chips, Pizza","21 Kelso Street","Glasgow","G14 0LB","01419512200","668","5"
"Mr Tasty","Italian, Indian","20 Fleming Avenue","Clydebank","G81 1AJ","01419520141","923","5"
"Golden Buck","Chinese, Noodles","121 Cleveden Road","Glasgow","G12 0JU","01413341131","276","5"
"Ashoka Finnieston","Indian, Curry","1284 Argyle Street","Glasgow","G3 8AB","01413393371","2049","5"
"Ocean Pearl Chinese","Chinese, Thai","2019 Dumbarton Road","Glasgow","G14 0HY","01419548768","1192","5"
"Grillicious Mediterranean","Italian, Pizza","643 Dumbarton Road","Glasgow","G11 6HZ","01413377077","2618","4.5"
"Ruby Chinese","Chinese, Oriental","4 Exeter Drive","Glasgow","G11 7UX","01413376400","1272","5.5"
"Loon Hing","Chinese, Noodles","48 Switchback Road","Bearsden","G61 1AE","01419425830","1177","5"
"Roma Fish & Chips","Fish & Chips, Pizza","469 Dumbarton Road","Dalmuir","G81 4DT","01415620028","964","5"
"Bollywood Spice","Indian, Pizza, Halal","477 Dumbarton Road","Glasgow","G11 6EJ","01413349888","683","5"
"Giulio's Fish & Chips Stop","Fish & Chips, Pizza, Halal","1580 Dumbarton Road, Scotstoun","Glasgow","G14 9DB","01419545632","386","4.5"
"Ceqwa","Indian, Burgers, Halal","692 Dumbarton Rd, Thornwood","Glasgow","G11 6RB","01413340291","769","5"
"Master Chef","Indian, Kebab, Halal","643 Dumbarton Road","Glasgow","G11 6HZ","07405503979","132","4.5"
"Ninja Turtles Restaurant","American, Pizza, Halal","911 Dumbarton Road","Glasgow","G11 6NB","01412373434","1689","4.5"
"Mede Food Club","Turkish, Indian","296 Faifley Road","Clydebank","G81 5EY","01389879442","187","5"
"Jaipur Indian Takeaway","Indian, Curry, Halal","162 Dorchester Avenue","Glasgow","G12 0DZ","0141 339 2255","128","5"
"Pastaio's","Italian, Pizza, Halal","558 Paisley Road West","Glasgow","G51 1RF","01414190848","523","5.5"
"Feng Huang~","Chinese, Oriental","1830 Maryhill Road","Glasgow","G20 0HD","01419469222","81","5"
"Levant","Indian, Kebab","77 Kinfauns Drive","Glasgow","G15 7TG","07572481552","44","5.5"
"Neelim Indian Restaurant","Indian, Curry, Halal","1590 Dumbarton Road","Glasgow","G14 9DB","01419596265","836","5.5"
"New Aladdin","Indian, Italian, Halal","1576 Dumbarton Road","Glasgow","G14 9DB","01419543154","78","5.5"
"Wee Fatty's","Breakfast, Burgers","2481 Dumbarton Road","Glasgow","G14 0PR","01419512258","209","5"
"Sesame","Chinese, Oriental","1030 Dumbarton Road","Glasgow","G14 9UL","01419580871","401","5"
"Curry Pot","Indian, Pizza","139 Dumbarton Road","Glasgow","G11 6PR","01413341549","1315","5"
"Chow","Chinese, Thai","98 Byres Road","Glasgow","G12 8TB","01413349818","223","4.5"
"Munchies","Kebab, Pizza, Halal","260 Faifley Road","Glasgow","G81 5EH","01389299463","216","4.5"
"Cailins Sushi Bar & Takeaway","Japanese, Sushi","1136 Argyle Street","Glasgow","G3 8TD","01413348637","1602","5"
"Bombay Grill","Indian, Curry","19-21 Glasgow Road","Clydesbank","G81 5PJ","01389879803","495","5.5"
"Cake & Shake","Cakes, Milkshakes","21 Kelso Street","Glasgow","G14 0LB","01419512200","121","4"
"Punjabi Fusion","Indian, American","1010 Dumbarton Road","Glasgow","G14 9UJ","01419592467","1103","5.5"
"Homewok Takeaway","Chinese, Noodles","101 Byres Road","Glasgow","G11 5HW","01413348433","837","5"
"Balti Club","Indian, Curry, Halal","66 Woodlands Road","Glasgow","G3 6HA","01413325495","1203","4.5"
"Rinaldos","Indian, Italian","75-77 Kinfauns Drive","Glasgow","G15 7TG","01419447068","450","4.5"
"Wee Fatty's Ice Cream and Dessert","Ice Cream, Desserts","2481 Dumbarton Road","Glasgow","G14 0PR","07432727592","44","5"
"Peri Peri Bites","Peri Peri, Chicken, Halal","339 Dumbarton Road","Glasgow","G11 6AL","01413371059","17","4"
"Papa Gills","Indian, Kebab, Halal","2376 Dumbarton Rd","Lanarkshire","G14 0QL","01419514899","374","5"
"CJ's Food To Go","Café, Deli","1857 Maryhill Road","Glasgow","G20 0DE","07391841878","301","5"
"Indian Orchard","Indian, European","315 Dumbarton Road","Glasgow","G11 6AL","01413575624","195","5.5"
"Deli Darbar","Indian, Curry","476 Keppochhill Road","Glasgow","G21 1JE","01415720065","318","5"
"Little Curry House","Indian, Curry, Halal","41 Byres Road","Glasgow","G11 5RG","01413391339","544","5.5"
"New Cafe Punjab","Indian, Pizza, Halal","18 Alexander Street","18 Alexander Street","G81 1RZ","01419526960","122","5.5"
"Burger & Bun","Burgers, American","149 Milngavie Road","Bearsden","G61 3DY","01419429777","49","4.5"
"Hot Pot","Curry, Indian, Halal","688 Dumbarton Road","Glasgow","G11 6RB","07881744109","5","5"
"The Big Belly Deli","Café, Breakfast","781 - 783 Dumbarton Road","Glasgow","G11 6NA","01413345309","60","4"
"Tasty Chippy","Fish & Chips, Indian","20 Fleming Avenue","Clydebank","G81 1AJ","01419527040","86","4"
"Italian Pizzaria","Pizza, Fast Food, Halal","1 Salkeld Street","Glasgow","G5 8HE","01412371670","144","4.5"
"3 In 1 Xtra","Indian, Pizza, Halal","67-69 Elmbank Street","Glasgow","G2 4PQ","01413324501","1168","3.5"
"Green Chilli Cafe","Indian, Curry, Halal","1293 - 1297 Argyle Street","Glasgow","G3 8TL","01413376378","36","4.5"
"Spice Box","Indian, Fast Food, Halal","478 Sauchiehall Street","Glasgow","G2 3LW","07542841542","237","2.5"
"Pizza Club","Italian, Pizza, Halal","66 Woodlands Road","Glasgow","G3 6HA","01413334948","310","4"
"Pomo","Italian, Pasta","337 Paisley Road West","Glasgow","G51 1LU","01413576666","833","5"
"Old Monk Indian Food Bar","Indian, Curry","71 Milgavie Road","Glasgow","G61 2DW","01419430023","174","4.5"
"El Gusto","Spanish, Mediterranean","31 Gibson Street","Glasgow","G12 8NU","01413347139","442","5.5"
"Shimla Pinks","Indian, Curry, Halal","758 Anniesland Road","Glasgow","G14 0YU","01412379760","181","5"
"Italian Job Express","Italian, Pasta","528 Crow Road","Glasgow","G13 1NU","01419548811","3022","5.5"
"Bombay Mix","Indian, Pizza","1911 Maryhill Road","Glasgow","G20 0BY","01419454222","266","5.5"
"The Maggie Snack Bar","Burgers, Breakfast","Queen Margaret Drive","Glasgow","G12 8DQ","07523815738","5","4.5"
"Deli De Mamá","Breakfast, Burgers","1874 Dumbarton Road","Glasgow","G14 0YA","01419547126","627","5"
"Stefanos Fastfood","Fish & Chips, British","Drumry Road East","Glasgow","G15 8PA","01419491500","136","4.5"
"The Kent Fish and Chip Bar","Fish & Chips","218 Kent Road","Glasgow","G3 7HE","01412222800","2","3"
"Four Pound Shop","Chinese, Oriental","27 Kelso Street","Glasgow","G14 0LB","01419511361","33","4.5"
"Woody's Chargrilled Kebab","Pizza, Kebab","1425 Maryhill Road","Glasgow","G20 9AA","01419462114","143","5.5"
"Wok In","Chinese, Oriental","1919 Dumbarton Rd","Glasgow","G14 0YS","01419543336","269","5.5"
"Nell's Kitchen","Breakfast, Grill","4 Bayfield Terrace","Glasgow","G15 7EJ","01419441000","311","6"
"Shangri La","Chinese, Noodles","1b Apsley Street","Glasgow","G11 7SZ","01413396669","613","5"
"Yarrow Cafe","Café, Breakfast","1915 Dumbarton Road","Glasgow","G14 0YS","01419590420","22","4"
"Lotus","Lebanese, Grill, Halal","1363 Dumbarton Road","Glasgow, Lanarkshire","G14 0YS","01419548000","386","5.5"
"Pizzeria Enrico","Italian, Pizza","50 Switchback Road","Bearsden","G61 1AE","01412611731","355","5.5"
"Ruby Roo","Indian, Curry, Halal","337 Dumbarton Road","Glasgow","G11 6AL","01413373777","22","4.5"
"Royal Chicken Palace","Chicken, Pizza, Halal","123 Cleveden Road","Glasgow","G12 0JU","01413574867","294","5"
"Marinis","Fish & Chips, Pizza","41 Milngavie Road","Bearsden","G61 2DW","01419430400","45","5"
"Subway Byres Road","Subways, Sandwiches","239 Byres Road","Glasgow","G12 8UB","02039126648","56","4"
"Sushi Boutique","Sushi, Japanese","3rd Floor, 28 Tunnel Street","Glasgow","G3 8HL","01413288941","361","4.5"
"Chapati","Indian, Pizza, Halal","2017 Dumbarton Road","Glasgow","G14 0HY","01415760118","146","5"
"Nam Tuk","Thai, Chinese","2 Partick Bridge Street","Glasgow","G11 6PL","01413570330","990","4.5"
"Piano Take away","Fish & Chips, Kebab, Halal","1939 Dumbarton Road","Glasgow","G14 0YT","07722721107","79","5"
"Rioja","Spanish, Tapas","1116 Argyle Street","Finnieston","G3 8TD","01413340761","222","4"
"Rotunda Diner","American, Burgers","2nd Floor, 28 Tunnel Street","Glasgow","G3 8HL","01412215881","781","4"
"Diamond Inn","Chinese, Oriental","1401 Dumbarton Road","Lanarkshire","G14 9XS","01419597777","252","5"
"Yen @ The Rotunda Glasgow","Chinese, Japanese","1st Floor, 28 Tunnel Street","Glasgow","G3 8HL","01418470110","1506","4.5"
"Halloumi","Greek, Grill","161 Hope Street","Glasgow","G2 2UQ","01412041616","22","3"
"Halloumi","Greek, Grill","697 Pollokshaws Road","Glasgow","G41 2AB","01414236340","23","2.5"
